Order_ID,Customer_ID,Order_Date,Product,Category,Quantity,Price,Revenue,Region,Order_Month
O10148,C0028,19-03-2023,Keyboard,Accessories,2,523,1046,West,2023-03
O10149,C0526,06-07-2023,Phone,Electronics,1,715,715,West,2023-07
O10150,C0363,27-08-2023,Headphones,Electronics,3,1076,3228,West,2023-08
O10151,C0015,11-07-2023,Monitor,Electronics,2,855,1710,North,2023-07
O10152,C0039,30-09-2023,Mouse,Accessories,1,77,77,East,2023-09
O10153,C0537,25-05-2023,Keyboard,Accessories,2,175,350,North,2023-05
O10154,C0233,19-04-2023,Tablet,Electronics,1,116,116,South,2023-04
O10155,C0369,24-08-2023,Mouse,Accessories,3,83,249,East,2023-08
O10156,C0518,29-06-2023,Phone,Electronics,1,662,662,South,2023-06
O10157,C0377,16-10-2023,Printer,Office,2,364,728,North,2023-10
O10158,C0516,16-12-2023,Keyboard,Accessories,1,673,673,East,2023-12
O10159,C0137,04-09-2023,Keyboard,Accessories,2,399,798,East,2023-09
O10160,C0229,05-02-2023,Headphones,Electronics,3,1113,3339,West,2023-02
O10161,C0075,04-01-2023,Mouse,Accessories,2,517,1034,East,2023-01
O10162,C0504,03-03-2023,Keyboard,Accessories,2,930,1860,North,2023-03
O10163,C0392,26-01-2023,Phone,Electronics,3,764,2292,East,2023-01
O10164,C0410,28-04-2023,Monitor,Electronics,1,375,375,West,2023-04
O10165,C0113,20-05-2023,Headphones,Electronics,1,581,581,East,2023-05
O10166,C0320,07-02-2023,Laptop,Electronics,2,703,1406,North,2023-02
O10167,C0259,10-06-2023,Keyboard,Accessories,3,894,2682,South,2023-06
O10168,C0172,13-01-2023,Phone,Electronics,2,310,620,West,2023-01
O10169,C0550,04-04-2023,Phone,Electronics,1,378,378,East,2023-04
O10170,C0236,30-11-2023,Laptop,Electronics,1,367,367,North,2023-11
O10171,C0547,01-01-2023,Printer,Office,3,637,1911,West,2023-01
O10172,C0229,27-09-2023,Printer,Office,2,922,1844,West,2023-09
O10173,C0165,05-01-2023,Keyboard,Accessories,3,774,2322,East,2023-01
O10174,C0132,30-03-2023,Headphones,Electronics,2,623,1246,North,2023-03
O10175,C0296,24-11-2023,Phone,Electronics,1,451,451,East,2023-11
O10176,C0422,19-12-2023,Printer,Office,2,849,1698,East,2023-12
O10177,C0145,13-08-2023,Mouse,Accessories,3,1042,3126,East,2023-08
O10178,C0104,08-02-2023,Mouse,Accessories,2,870,1740,East,2023-02
O10179,C0391,28-06-2023,Keyboard,Accessories,2,628,1256,West,2023-06
O10180,C0231,06-06-2023,Phone,Electronics,3,527,1581,South,2023-06
O10181,C0411,16-10-2023,Laptop,Electronics,1,1070,1070,South,2023-10
O10182,C0118,21-10-2023,Tablet,Electronics,2,566,1132,North,2023-10
O10183,C0216,03-07-2023,Mouse,Accessories,3,277,831,East,2023-07
O10184,C0324,28-11-2023,Monitor,Electronics,1,96,96,North,2023-11
O10185,C0292,09-10-2023,Phone,Electronics,3,144,432,East,2023-10
O10186,C0254,26-11-2023,Headphones,Electronics,1,60,60,West,2023-11
O10187,C0023,30-10-2023,Keyboard,Accessories,2,761,1522,South,2023-10
O10188,C0218,21-05-2023,Keyboard,Accessories,3,445,1335,West,2023-05
O10189,C0460,22-12-2023,Keyboard,Accessories,2,1034,2068,West,2023-12
O10190,C0127,16-04-2023,Tablet,Electronics,1,937,937,North,2023-04
O10191,C0051,29-01-2023,Tablet,Electronics,3,1063,3189,South,2023-01
O10192,C0407,14-09-2023,Printer,Office,1,828,828,South,2023-09
O10193,C0182,09-11-2023,Monitor,Electronics,1,469,469,North,2023-11
O10194,C0371,29-05-2023,Mouse,Accessories,2,616,1232,East,2023-05
O10195,C0436,09-11-2023,Laptop,Electronics,1,251,251,North,2023-11
O10196,C0244,25-01-2023,Phone,Electronics,1,624,624,South,2023-01
O10197,C0210,13-12-2023,Headphones,Electronics,2,435,870,North,2023-12
O10198,C0179,01-07-2023,Printer,Office,3,1004,3012,West,2023-07
O10199,C0501,10-12-2023,Laptop,Electronics,3,759,2277,North,2023-12
O10200,C0156,18-02-2023,Laptop,Electronics,1,112,112,East,2023-02
O10201,C0148,28-04-2023,Laptop,Electronics,1,738,738,South,2023-04
O10202,C0327,14-09-2023,Tablet,Electronics,3,610,1830,West,2023-09
O10203,C0435,30-07-2023,Monitor,Electronics,2,264,528,South,2023-07
O10204,C0305,13-10-2023,Printer,Office,2,334,668,West,2023-10
O10205,C0590,24-06-2023,Printer,Office,3,67,201,South,2023-06
O10206,C0113,24-04-2023,Phone,Electronics,2,1037,2074,South,2023-04
O10207,C0264,24-02-2023,Keyboard,Accessories,3,880,2640,East,2023-02
O10208,C0380,28-03-2023,Headphones,Electronics,2,211,422,East,2023-03
O10209,C0313,04-09-2023,Tablet,Electronics,2,1081,2162,East,2023-09
O10210,C0328,23-02-2023,Printer,Office,3,492,1476,North,2023-02
O10211,C0051,07-04-2023,Mouse,Accessories,1,628,628,West,2023-04
O10212,C0088,19-03-2023,Mouse,Accessories,2,145,290,West,2023-03
O10213,C0452,14-06-2023,Printer,Office,2,540,1080,South,2023-06
O10214,C0007,26-11-2023,Monitor,Electronics,2,784,1568,East,2023-11
O10215,C0147,22-04-2023,Laptop,Electronics,3,1158,3474,North,2023-04
O10216,C0082,02-01-2023,Headphones,Electronics,1,749,749,North,2023-01
O10217,C0386,14-07-2023,Mouse,Accessories,1,795,795,East,2023-07
O10218,C0256,10-08-2023,Mouse,Accessories,1,854,854,North,2023-08
O10219,C0500,08-12-2023,Phone,Electronics,1,989,989,West,2023-12
O10220,C0158,30-04-2023,Printer,Office,1,763,763,East,2023-04
O10221,C0115,28-07-2023,Keyboard,Accessories,3,177,531,South,2023-07
O10222,C0281,25-12-2023,Laptop,Electronics,2,286,572,North,2023-12
O10223,C0004,03-06-2023,Keyboard,Accessories,2,543,1086,South,2023-06
O10224,C0075,22-11-2023,Monitor,Electronics,1,659,659,South,2023-11
O10225,C0356,10-02-2023,Printer,Office,1,91,91,South,2023-02
O10226,C0378,17-03-2023,Phone,Electronics,1,1047,1047,East,2023-03
O10227,C0027,09-11-2023,Monitor,Electronics,2,391,782,East,2023-11
O10228,C0268,25-08-2023,Keyboard,Accessories,3,217,651,North,2023-08
O10229,C0401,09-07-2023,Monitor,Electronics,3,955,2865,South,2023-07
O10230,C0363,12-07-2023,Keyboard,Accessories,2,1069,2138,East,2023-07
O10231,C0029,29-05-2023,Monitor,Electronics,3,843,2529,East,2023-05
O10232,C0113,06-07-2023,Printer,Office,3,725,2175,East,2023-07
O10233,C0055,21-04-2023,Printer,Office,3,147,441,West,2023-04
O10234,C0312,16-10-2023,Keyboard,Accessories,2,118,236,South,2023-10
O10235,C0507,31-12-2023,Tablet,Electronics,3,1007,3021,East,2023-12
O10236,C0450,14-03-2023,Phone,Electronics,1,203,203,North,2023-03
O10237,C0042,25-01-2023,Printer,Office,1,110,110,East,2023-01
O10238,C0172,12-04-2023,Headphones,Electronics,3,157,471,South,2023-04
O10239,C0017,26-11-2023,Tablet,Electronics,3,1117,3351,North,2023-11
O10240,C0318,21-03-2023,Mouse,Accessories,1,61,61,West,2023-03
O10241,C0081,03-08-2023,Headphones,Electronics,3,710,2130,North,2023-08
O10242,C0089,25-09-2023,Keyboard,Accessories,2,515,1030,East,2023-09
O10243,C0538,16-02-2023,Headphones,Electronics,2,538,1076,West,2023-02
O10244,C0086,07-09-2023,Phone,Electronics,3,450,1350,East,2023-09
O10245,C0519,17-05-2023,Keyboard,Accessories,3,678,2034,East,2023-05
O10246,C0477,23-03-2023,Printer,Office,2,876,1752,East,2023-03
O10247,C0402,13-04-2023,Keyboard,Accessories,3,1044,3132,North,2023-04
O10248,C0188,28-10-2023,Keyboard,Accessories,3,1044,3132,South,2023-10
O10249,C0183,30-12-2023,Headphones,Electronics,1,985,985,East,2023-12
O10250,C0397,29-07-2023,Mouse,Accessories,1,1031,1031,North,2023-07
O10251,C0450,07-11-2023,Printer,Office,1,1181,1181,East,2023-11
O10252,C0251,04-09-2023,Phone,Electronics,2,463,926,North,2023-09
O10253,C0029,14-11-2023,Monitor,Electronics,2,1112,2224,North,2023-11
O10254,C0440,24-08-2023,Tablet,Electronics,1,321,321,East,2023-08
O10255,C0359,06-12-2023,Laptop,Electronics,2,975,1950,North,2023-12
O10256,C0429,22-05-2023,Laptop,Electronics,2,52,104,West,2023-05
O10257,C0146,20-10-2023,Keyboard,Accessories,2,373,746,North,2023-10
O10258,C0585,01-11-2023,Printer,Office,1,998,998,North,2023-11
O10259,C0380,17-07-2023,Printer,Office,3,110,330,East,2023-07
O10260,C0062,29-11-2023,Printer,Office,3,60,180,South,2023-11
O10261,C0571,13-03-2023,Laptop,Electronics,3,613,1839,West,2023-03
O10262,C0243,26-11-2023,Monitor,Electronics,3,934,2802,East,2023-11
O10263,C0506,16-09-2023,Phone,Electronics,1,267,267,West,2023-09
O10264,C0047,03-08-2023,Keyboard,Accessories,1,103,103,North,2023-08
O10265,C0573,27-06-2023,Laptop,Electronics,3,1093,3279,South,2023-06
O10266,C0003,09-06-2023,Keyboard,Accessories,1,265,265,East,2023-06
O10267,C0089,25-11-2023,Keyboard,Accessories,1,1193,1193,West,2023-11
O10268,C0323,03-05-2023,Keyboard,Accessories,1,1001,1001,West,2023-05
O10269,C0332,19-06-2023,Monitor,Electronics,1,970,970,North,2023-06
O10270,C0226,04-05-2023,Mouse,Accessories,1,1004,1004,East,2023-05
O10271,C0454,06-02-2023,Keyboard,Accessories,3,963,2889,West,2023-02
O10272,C0593,24-04-2023,Printer,Office,1,845,845,West,2023-04
O10273,C0115,05-07-2023,Monitor,Electronics,2,398,796,East,2023-07
O10274,C0289,19-09-2023,Printer,Office,2,89,178,West,2023-09
O10275,C0571,31-10-2023,Headphones,Electronics,1,620,620,North,2023-10
O10276,C0345,30-06-2023,Monitor,Electronics,3,606,1818,South,2023-06
O10277,C0007,13-05-2023,Tablet,Electronics,3,471,1413,East,2023-05
O10278,C0031,23-01-2023,Monitor,Electronics,2,810,1620,South,2023-01
O10279,C0356,15-09-2023,Phone,Electronics,3,131,393,South,2023-09
O10280,C0224,13-01-2023,Monitor,Electronics,1,344,344,South,2023-01
O10281,C0360,11-08-2023,Headphones,Electronics,1,66,66,South,2023-08
O10282,C0326,15-03-2023,Tablet,Electronics,1,724,724,North,2023-03
O10283,C0335,10-08-2023,Printer,Office,2,621,1242,North,2023-08
O10284,C0484,30-08-2023,Monitor,Electronics,2,965,1930,West,2023-08
O10285,C0401,12-07-2023,Headphones,Electronics,1,573,573,South,2023-07
O10286,C0306,27-09-2023,Phone,Electronics,3,259,777,West,2023-09
O10287,C0227,07-01-2023,Mouse,Accessories,1,765,765,North,2023-01
O10288,C0079,27-02-2023,Headphones,Electronics,1,928,928,East,2023-02
O10289,C0285,04-01-2023,Phone,Electronics,2,787,1574,North,2023-01
O10290,C0271,12-10-2023,Headphones,Electronics,1,88,88,North,2023-10
O10291,C0084,22-01-2023,Headphones,Electronics,2,1023,2046,East,2023-01
O10292,C0382,24-08-2023,Headphones,Electronics,3,898,2694,West,2023-08
O10293,C0303,23-12-2023,Tablet,Electronics,1,70,70,East,2023-12
O10294,C0527,11-06-2023,Tablet,Electronics,2,619,1238,North,2023-06
O10295,C0524,01-10-2023,Headphones,Electronics,1,842,842,East,2023-10
O10296,C0430,25-05-2023,Tablet,Electronics,3,1133,3399,North,2023-05
O10297,C0562,18-07-2023,Monitor,Electronics,3,1100,3300,East,2023-07
O10298,C0558,15-01-2023,Monitor,Electronics,1,427,427,North,2023-01
O10299,C0273,24-08-2023,Keyboard,Accessories,2,504,1008,West,2023-08
O10300,C0501,27-04-2023,Tablet,Electronics,1,1066,1066,South,2023-04
O10301,C0072,04-10-2023,Printer,Office,3,1137,3411,South,2023-10
O10302,C0166,01-02-2023,Keyboard,Accessories,2,656,1312,East,2023-02
O10303,C0102,24-09-2023,Monitor,Electronics,1,850,850,South,2023-09
O10304,C0588,15-02-2023,Headphones,Electronics,1,450,450,West,2023-02
O10305,C0092,28-05-2023,Mouse,Accessories,2,1159,2318,North,2023-05
O10306,C0225,16-10-2023,Phone,Electronics,2,51,102,North,2023-10
O10307,C0116,03-06-2023,Monitor,Electronics,2,638,1276,South,2023-06
O10308,C0090,23-06-2023,Mouse,Accessories,2,920,1840,South,2023-06
O10309,C0106,01-11-2023,Phone,Electronics,3,1043,3129,West,2023-11
O10310,C0009,19-09-2023,Headphones,Electronics,1,684,684,North,2023-09
O10311,C0370,23-07-2023,Mouse,Accessories,3,602,1806,West,2023-07
O10312,C0318,21-04-2023,Printer,Office,2,1157,2314,East,2023-04
O10313,C0084,27-07-2023,Mouse,Accessories,3,508,1524,West,2023-07
O10314,C0410,03-01-2023,Keyboard,Accessories,2,71,142,East,2023-01
O10315,C0012,28-03-2023,Laptop,Electronics,2,63,126,West,2023-03
O10316,C0147,24-02-2023,Monitor,Electronics,1,171,171,South,2023-02
O10317,C0288,03-11-2023,Tablet,Electronics,1,358,358,West,2023-11
O10318,C0549,18-12-2023,Phone,Electronics,2,963,1926,West,2023-12
O10319,C0035,03-04-2023,Laptop,Electronics,3,973,2919,South,2023-04
O10320,C0332,01-11-2023,Mouse,Accessories,3,402,1206,South,2023-11
O10321,C0024,20-10-2023,Monitor,Electronics,3,1006,3018,West,2023-10
O10322,C0152,19-02-2023,Tablet,Electronics,2,581,1162,North,2023-02
O10323,C0250,27-04-2023,Headphones,Electronics,1,469,469,South,2023-04
O10324,C0418,19-09-2023,Printer,Office,2,384,768,East,2023-09
O10325,C0246,05-05-2023,Phone,Electronics,3,235,705,West,2023-05
O10326,C0552,21-01-2023,Headphones,Electronics,1,579,579,East,2023-01
O10327,C0520,10-04-2023,Laptop,Electronics,3,843,2529,West,2023-04
O10328,C0526,30-11-2023,Keyboard,Accessories,3,989,2967,South,2023-11
O10329,C0553,14-11-2023,Mouse,Accessories,1,886,886,South,2023-11
O10330,C0504,19-08-2023,Tablet,Electronics,1,63,63,North,2023-08
O10331,C0145,11-12-2023,Tablet,Electronics,2,887,1774,North,2023-12
O10332,C0449,13-06-2023,Tablet,Electronics,2,310,620,North,2023-06
O10333,C0395,10-01-2023,Mouse,Accessories,3,336,1008,East,2023-01
O10334,C0361,14-09-2023,Keyboard,Accessories,2,641,1282,North,2023-09
O10335,C0513,09-11-2023,Tablet,Electronics,3,1021,3063,West,2023-11
O10336,C0204,14-06-2023,Keyboard,Accessories,1,1180,1180,North,2023-06
O10337,C0251,30-11-2023,Laptop,Electronics,3,669,2007,South,2023-11
O10338,C0282,12-10-2023,Laptop,Electronics,3,1093,3279,North,2023-10
O10339,C0485,02-09-2023,Mouse,Accessories,3,247,741,East,2023-09
O10340,C0206,12-01-2023,Monitor,Electronics,1,1058,1058,South,2023-01
O10341,C0216,08-09-2023,Tablet,Electronics,1,291,291,East,2023-09
O10342,C0306,12-10-2023,Keyboard,Accessories,2,266,532,North,2023-10
O10343,C0427,27-06-2023,Mouse,Accessories,3,544,1632,East,2023-06
O10344,C0384,06-05-2023,Tablet,Electronics,2,200,400,North,2023-05
O10345,C0375,08-01-2023,Tablet,Electronics,2,795,1590,South,2023-01
O10346,C0352,24-12-2023,Monitor,Electronics,1,1064,1064,North,2023-12
O10347,C0119,06-08-2023,Mouse,Accessories,2,360,720,East,2023-08
O10348,C0145,26-01-2023,Phone,Electronics,2,163,326,West,2023-01
O10349,C0345,29-10-2023,Mouse,Accessories,1,637,637,West,2023-10
O10350,C0304,10-03-2023,Laptop,Electronics,1,1126,1126,North,2023-03
O10351,C0575,14-03-2023,Phone,Electronics,2,1059,2118,North,2023-03
O10352,C0585,02-09-2023,Laptop,Electronics,1,737,737,North,2023-09
O10353,C0324,08-04-2023,Mouse,Accessories,1,1020,1020,North,2023-04
O10354,C0454,23-03-2023,Keyboard,Accessories,2,68,136,North,2023-03
O10355,C0365,27-11-2023,Laptop,Electronics,3,900,2700,North,2023-11
O10356,C0455,30-03-2023,Printer,Office,2,871,1742,North,2023-03
O10357,C0143,12-11-2023,Mouse,Accessories,1,1149,1149,North,2023-11
O10358,C0497,18-10-2023,Laptop,Electronics,1,354,354,West,2023-10
O10359,C0003,26-03-2023,Keyboard,Accessories,2,916,1832,South,2023-03
O10360,C0221,03-06-2023,Printer,Office,2,503,1006,North,2023-06
O10361,C0293,27-10-2023,Tablet,Electronics,1,353,353,West,2023-10
